country,country_code,indicator,year,value,long_name,income_group,region,lending_category,other_groups,currency_unit,latest_population_census,latest_household_survey,special_notes,national_accounts_base_year,national_accounts_reference_year,system_of_national_accounts,sna_price_valuation,ppp_survey_years,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data,2-alpha_code,wb-2_code,table_name,short_name
Benin,BEN       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,Average maturity on new external debt commitments (years),2006,32.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,"Average maturity on new external debt commitments, official (years)",2006,32.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,Concessional debt (% of total external debt),2006,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,"Currency composition of PPG debt, all other currencies (%)",2006,41.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN       ,"Currency composition of PPG debt, Euro (%)",2006,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,Average grace period on new external debt commitments (years),2006,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average grace period on new external debt commitments, official (years)",2006,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,Average grant element on new external debt commitments (%),2006,43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average grant element on new external debt commitments, official (%)",2006,43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,Average interest on new external debt commitments (%),2006,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average interest on new external debt commitments, official (%)",2006,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,Average maturity on new external debt commitments (years),2006,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average maturity on new external debt commitments, official (years)",2006,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,Concessional debt (% of total external debt),2006,32.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Currency composition of PPG debt, all other currencies (%)",2006,61.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN       ,"Currency composition of PPG debt, Euro (%)",2006,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,Average grace period on new external debt commitments (years),2006,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average grace period on new external debt commitments, official (years)",2006,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average grace period on new external debt commitments, private (years)",2006,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,Average grant element on new external debt commitments (%),2006,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average grant element on new external debt commitments, official (%)",2006,19.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average grant element on new external debt commitments, private (%)",2006,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,Average interest on new external debt commitments (%),2006,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average interest on new external debt commitments, official (%)",2006,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average interest on new external debt commitments, private (%)",2006,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,Average maturity on new external debt commitments (years),2006,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average maturity on new external debt commitments, official (years)",2006,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Average maturity on new external debt commitments, private (years)",2006,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,Concessional debt (% of total external debt),2006,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Currency composition of PPG debt, all other currencies (%)",2006,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH       ,"Currency composition of PPG debt, Euro (%)",2006,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,Average grace period on new external debt commitments (years),2006,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average grace period on new external debt commitments, official (years)",2006,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,Average grant element on new external debt commitments (%),2006,57.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average grant element on new external debt commitments, official (%)",2006,57.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,Average interest on new external debt commitments (%),2006,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average interest on new external debt commitments, official (%)",2006,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,Average maturity on new external debt commitments (years),2006,41.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average maturity on new external debt commitments, official (years)",2006,41.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,Concessional debt (% of total external debt),2006,62.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Currency composition of PPG debt, all other currencies (%)",2006,34.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA       ,"Currency composition of PPG debt, Euro (%)",2006,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,Average grace period on new external debt commitments (years),2006,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average grace period on new external debt commitments, official (years)",2006,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,Average grant element on new external debt commitments (%),2006,51.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average grant element on new external debt commitments, official (%)",2006,51.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,Average interest on new external debt commitments (%),2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average interest on new external debt commitments, official (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,Average maturity on new external debt commitments (years),2006,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average maturity on new external debt commitments, official (years)",2006,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,Concessional debt (% of total external debt),2006,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Currency composition of PPG debt, all other currencies (%)",2006,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI       ,"Currency composition of PPG debt, Euro (%)",2006,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,Average grace period on new external debt commitments (years),2006,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average grace period on new external debt commitments, official (years)",2006,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,Average grant element on new external debt commitments (%),2006,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average grant element on new external debt commitments, official (%)",2006,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,Average interest on new external debt commitments (%),2006,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average interest on new external debt commitments, official (%)",2006,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,Average maturity on new external debt commitments (years),2006,38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average maturity on new external debt commitments, official (years)",2006,38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,Concessional debt (% of total external debt),2006,71.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Currency composition of PPG debt, all other currencies (%)",2006,21.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV       ,"Currency composition of PPG debt, Euro (%)",2006,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,Average grace period on new external debt commitments (years),2006,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average grace period on new external debt commitments, official (years)",2006,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,Average grant element on new external debt commitments (%),2006,46.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average grant element on new external debt commitments, official (%)",2006,46.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,Average interest on new external debt commitments (%),2006,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average interest on new external debt commitments, official (%)",2006,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,Average maturity on new external debt commitments (years),2006,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Average maturity on new external debt commitments, official (years)",2006,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
